track_name,album_name,valence,energy,data_type
imgonnagetyouback,The Tortured Poets Department: The Anthology,0.4037257730960846,0.6662858128547668,PREDICTED
The Albatross,The Tortured Poets Department: The Anthology,0.6195854544639587,0.37881219387054443,PREDICTED
Chloe or Sam or Sophia or Marcus,The Tortured Poets Department: The Anthology,0.3354755938053131,0.3818037509918213,PREDICTED
How Did It End?,The Tortured Poets Department: The Anthology,0.3228287696838379,0.4019632637500763,PREDICTED
So High School,The Tortured Poets Department: The Anthology,0.43073770403862,0.6637614965438843,PREDICTED
I Hate It Here,The Tortured Poets Department: The Anthology,0.45779791474342346,0.5811750888824463,PREDICTED
thanK you aIMee,The Tortured Poets Department: The Anthology,0.5113226175308228,0.6282869577407837,PREDICTED
I Look in People’s Windows,The Tortured Poets Department: The Anthology,0.3680249750614166,0.39768415689468384,PREDICTED
The Prophecy,The Tortured Poets Department: The Anthology,0.41756054759025574,0.6463919281959534,PREDICTED
Cassandra,The Tortured Poets Department: The Anthology,0.5488600730895996,0.5259988903999329,PREDICTED
Peter,The Tortured Poets Department: The Anthology,0.4764277935028076,0.5992708802223206,PREDICTED
The Bolter,The Tortured Poets Department: The Anthology,0.5047940611839294,0.7215827703475952,PREDICTED
Robin,The Tortured Poets Department: The Anthology,0.3680249750614166,0.29453012347221375,PREDICTED
The Manuscript,The Tortured Poets Department: The Anthology,0.3925038278102875,0.30250003933906555,PREDICTED
The Fate of Ophelia,The Life of a Showgirl,0.2960759103298187,0.6671680212020874,PREDICTED
Elizabeth Taylor,The Life of a Showgirl,0.43938013911247253,0.6475750207901001,PREDICTED
Opalite,The Life of a Showgirl,0.45344316959381104,0.7010372877120972,PREDICTED
Father Figure,The Life of a Showgirl,0.5212967395782471,0.6224038004875183,PREDICTED
Eldest Daughter,The Life of a Showgirl,0.36523371934890747,0.630964994430542,PREDICTED
Ruin The Friendship,The Life of a Showgirl,0.2941296100616455,0.6139240264892578,PREDICTED
Actually Romantic,The Life of a Showgirl,0.2904475927352905,0.6115211844444275,PREDICTED
Wi$h Li$t,The Life of a Showgirl,0.5461543798446655,0.6644048094749451,PREDICTED
Wood,The Life of a Showgirl,0.28019770979881287,0.49463799595832825,PREDICTED
CANCELLED!,The Life of a Showgirl,0.5954871773719788,0.7031053900718689,PREDICTED
Honey,The Life of a Showgirl,0.32460442185401917,0.6403911113739014,PREDICTED
The Life of a Showgirl,The Life of a Showgirl,0.37155845761299133,0.8176724314689636,PREDICTED
